"filename", "language", "Python", "C", "Markdown", "C++", "Makefile", "comment", "blank", "total"
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 3, 6
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/client/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/client/client.py", "Python", 59, 0, 0, 0, 0, 15, 14, 88
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/client/gui.py", "Python", 67, 0, 0, 0, 0, 5, 11, 83
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/Makefile", "Makefile", 0, 0, 0, 0, 4, 0, 1, 5
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/client_requests.c", "C", 0, 25, 0, 0, 0, 12, 4, 41
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/client_requests.h", "C++", 0, 0, 0, 8, 0, 0, 4, 12
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/ext/sqlite/shell.c", "C", 0, 16455, 0, 0, 0, 3720, 1373, 21548
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/ext/sqlite/sqlite3.c", "C", 0, 146158, 0, 0, 0, 72710, 15374, 234242
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/ext/sqlite/sqlite3.h", "C++", 0, 0, 0, 1670, 0, 10267, 328, 12265
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/ext/sqlite/sqlite3ext.h", "C++", 0, 0, 0, 573, 0, 85, 6, 664
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/helpers.c", "C", 0, 32, 0, 0, 0, 4, 7, 43
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/helpers.h", "C++", 0, 0, 0, 10, 0, 0, 5, 15
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/main.c", "C", 0, 193, 0, 0, 0, 37, 32, 262
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/menu_functions.c", "C", 0, 35, 0, 0, 0, 1, 5, 41
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/menu_functions.h", "C++", 0, 0, 0, 8, 0, 0, 2, 10
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/player.c", "C", 0, 7, 0, 0, 0, 3, 1, 11
"/Users/ivansandev/Documents/Technical University/6 Семестър/СПр/Проект/modern-karaoke/server/player.h", "C++", 0, 0, 0, 4, 0, 0, 2, 6
"Total", "-", 126, 162905, 3, 2273, 4, 86859, 17173, 269343
